subgroup,n,mean_cate,se,ci_lo,ci_hi,pct_penalised
Income Q1,312254,-9.524,0.014,-9.551,-9.497,91.8
Income Q2,295029,-9.638,0.0152,-9.667,-9.608,92.7
Income Q3,296788,-8.947,0.0155,-8.978,-8.917,91.4
Income Q4,299967,-8.716,0.0158,-8.747,-8.685,90.8
Income Q5,295962,-8.557,0.0168,-8.59,-8.524,86.8
LTV <= 80%,931659,-10.672,0.0092,-10.69,-10.653,92.0
LTV > 80%,568341,-6.471,0.0093,-6.489,-6.453,88.5
Purchase loans,651204,-6.066,0.0088,-6.083,-6.049,86.5
Refinance loans,609908,-9.702,0.0107,-9.723,-9.681,92.1
Small lenders,6979,-10.554,0.0933,-10.737,-10.371,94.5
Large lenders,1381202,-9.13,0.0073,-9.144,-9.116,90.6
Pre-2022,825422,-8.812,0.0095,-8.831,-8.793,89.8
Post-2022,674578,-9.408,0.01,-9.427,-9.388,91.8
Automated AUS,1001261,-6.168,0.0065,-6.181,-6.155,87.8
Manual/exempt AUS,440092,-14.793,0.0132,-14.819,-14.767,96.5
Low DTI (<43%),997240,-8.498,0.0082,-8.514,-8.482,89.4
High DTI (>=43%),502760,-10.234,0.0125,-10.259,-10.209,93.3
