group,gap_pre,gap_post,did,se,t_stat,p_value,n,n_black
Full sample,13.735,14.722,0.987,0.159,6.23,0.0,2000000,400000
Q4 (most penalised),14.204,16.251,2.047,0.309,6.63,0.0,519438,132850
Q3,11.145,11.791,0.646,0.299,2.16,0.0308,481393,108624
Q2,10.695,10.653,-0.042,0.298,-0.14,0.887,504171,94923
Q1 (least penalised),10.602,12.086,1.485,0.351,4.23,0.0,494998,63603
Income Q1 <$60K,14.326,16.615,2.289,0.352,6.51,0.0,401219,104660
Income Q2 $60-90K,11.744,12.559,0.815,0.329,2.48,0.0131,410237,95751
Income Q3 $90-125K,10.776,11.141,0.364,0.331,1.1,0.2705,395750,82623
Income Q4 $125-180K,10.645,10.748,0.103,0.343,0.3,0.7649,397692,69176
Income Q5 >$180K,10.53,12.037,1.506,0.403,3.74,0.0002,395102,47790
Automated AUS,8.657,9.333,0.677,0.168,4.03,0.0001,1333367,258527
Manual/exempt,24.625,23.165,-1.459,0.303,-4.82,0.0,666633,141473
Purchase loans,11.964,12.28,0.315,0.204,1.55,0.1222,866495,202280
Refinance loans,14.355,15.533,1.178,0.283,4.17,0.0,814567,135714
